file	best_BER	alpha	block_size	num_bits
2428-83699-0041.flac	0.000	0.2	(16, 16)	4
2428-83699-0042.flac	0.250	0.01	(8, 8)	4
251-118436-0000.flac	0.000	0.01	(32, 32)	4
251-118436-0001.flac	0.000	0.1	(8, 8)	4
251-118436-0002.flac	0.000	0.01	(32, 32)	4
251-118436-0003.flac	0.250	0.01	(8, 8)	4
251-118436-0004.flac	0.000	0.2	(32, 32)	4
251-118436-0005.flac	0.000	0.01	(8, 8)	4
251-118436-0006.flac	0.000	0.2	(16, 16)	4
251-118436-0007.flac	0.000	0.1	(8, 8)	4
251-118436-0008.flac	0.125	0.05	(32, 32)	8
251-118436-0009.flac	0.000	0.01	(32, 32)	4
251-118436-0010.flac	0.000	0.1	(8, 8)	4
251-118436-0011.flac	0.125	0.1	(32, 32)	8
251-118436-0012.flac	0.000	0.1	(16, 16)	4
251-118436-0013.flac	0.250	0.05	(8, 8)	4
251-118436-0014.flac	0.125	0.01	(16, 16)	8
251-118436-0015.flac	0.125	0.01	(8, 8)	8
251-118436-0016.flac	0.000	0.2	(32, 32)	4
251-118436-0017.flac	0.125	0.2	(32, 32)	8
251-118436-0018.flac	0.250	0.01	(16, 16)	4
251-118436-0019.flac	0.000	0.01	(16, 16)	4
251-118436-0020.flac	0.000	0.01	(32, 32)	4
251-118436-0021.flac	0.000	0.1	(16, 16)	4
251-118436-0022.flac	0.000	0.1	(8, 8)	4
251-118436-0023.flac	0.250	0.05	(32, 32)	4
251-136532-0000.flac	0.000	0.05	(16, 16)	4
251-136532-0001.flac	0.250	0.05	(8, 8)	4
251-136532-0002.flac	0.250	0.05	(8, 8)	8
251-136532-0003.flac	0.250	0.1	(16, 16)	4
251-136532-0004.flac	0.125	0.1	(16, 16)	8
251-136532-0005.flac	0.125	0.01	(32, 32)	8
251-136532-0006.flac	0.000	0.05	(16, 16)	4
251-136532-0007.flac	0.250	0.01	(32, 32)	4
251-136532-0008.flac	0.000	0.05	(32, 32)	8
251-136532-0009.flac	0.000	0.1	(32, 32)	4
251-136532-0010.flac	0.250	0.01	(8, 8)	4
251-136532-0011.flac	0.000	0.05	(8, 8)	4
251-136532-0012.flac	0.000	0.1	(8, 8)	4
251-136532-0013.flac	0.125	0.05	(16, 16)	8
251-136532-0014.flac	0.000	0.01	(16, 16)	4
251-136532-0015.flac	0.125	0.01	(16, 16)	8
